	Country	2015 Reported cases_2015	2016 Reported cases_2016	2017 Reported cases_2017
0	Austria	1	41	8
1	Belgium	1	120	42
2	Bulgaria	.	.	.
3	Croatia	.	.	0
4	Cyprus	.	.	.
5	Czech Republic	.	13	4
6	Denmark	.	8	6
7	Estonia	.	0	0
8	Finland	1	6	2
9	France	.	1 141	28
10	Germany	.	.	69
11	Greece	.	2	1
12	Hungary	.	2	0
13	Iceland	.	.	.
14	Ireland	1	15	4
15	Italy	.	101	25
16	Latvia	0	0	0
17	Liechtenstein	.	.	.
18	Lithuania	.	.	0
19	Luxembourg	.	2	0
20	Malta	.	2	0
21	Netherlands	11	98	6
22	Norway	.	8	4
23	Poland	.	.	.
24	Portugal	.	18	1
25	Romania	.	3	0
26	Slovakia	.	3	0
27	Slovenia	.	7	0
28	Spain	10	301	44
29	Sweden	1	34	16
30	United Kingdom	3	194	14
