	Country	Reported cases_2015	Reported cases_2016	Reported cases_2017	Reported cases_2018
0	Austria	1	41	8	0
1	Belgium	1	120	42	2
2	Bulgaria	.	.	.	.
3	Croatia	.	.	0	0
4	Cyprus	.	.	.	.
5	Czech Republic	.	13	4	2
6	Denmark	.	8	6	0
7	Estonia	.	0	0	0
8	Finland	1	6	2	0
9	France	.	1141	28	10
10	Germany	.	.	69	18
11	Greece	.	2	1	2
12	Hungary	.	2	0	1
13	Iceland	.	.	.	.
14	Ireland	1	15	4	0
15	Italy	.	101	25	2
16	Latvia	0	0	0	0
17	Liechtenstein	.	.	.	.
18	Lithuania	.	.	0	0
19	Luxembourg	.	2	1	0
20	Malta	.	2	0	0
21	Netherlands	11	98	6	3
22	Norway	.	8	4	0
23	Poland	.	.	.	.
24	Portugal	.	18	1	0
25	Romania	.	3	0	0
26	Slovakia	.	3	0	0
27	Slovenia	.	7	0	0
28	Spain	10	301	44	9
29	Sweden	1	34	16	0
30	United Kingdom	3	194	14	2
31	EU/EEA	29	2119	275	51
